"Airline","Date_of_Journey","Source","Destination","Dep_Time","Duration","Total_Stops","Price"
"Jet Airways","2019-01-03","Banglore","New Delhi","07:00:00",860,"1 stop",27992
"Jet Airways","2019-01-03","Banglore","New Delhi","22:50:00",640,"1 stop",31825
"Jet Airways","2019-01-03","Banglore","New Delhi","22:50:00",530,"1 stop",26890
"IndiGo","2019-01-03","Banglore","New Delhi","23:30:00",170,"non-stop",10067
"Air India","2019-01-03","Banglore","New Delhi","11:05:00",665,"2 stops",13576
"Jet Airways Business","2019-01-03","Banglore","New Delhi","05:45:00",300,"1 stop",52229
"Jet Airways","2019-01-03","Banglore","New Delhi","18:40:00",890,"1 stop",31825
"Jet Airways","2019-01-03","Banglore","New Delhi","22:50:00",755,"1 stop",31825
"IndiGo","2019-01-03","Banglore","New Delhi","22:20:00",170,"non-stop",11934
"Air India","2019-01-03","Banglore","New Delhi","05:50:00",980,"2 stops",13576
"Air India","2019-01-03","Banglore","New Delhi","11:50:00",1510,"1 stop",15434
"Jet Airways","2019-01-03","Banglore","New Delhi","11:40:00",1200,"1 stop",22270
"Jet Airways","2019-01-03","Banglore","New Delhi","19:55:00",160,"non-stop",18308
"IndiGo","2019-01-03","Banglore","New Delhi","13:00:00",170,"non-stop",19685
"Air India","2019-01-03","Banglore","New Delhi","21:10:00",165,"non-stop",25703
"Jet Airways","2019-01-03","Banglore","New Delhi","08:55:00",1210,"1 stop",26890
"Air India","2019-01-03","Banglore","New Delhi","06:10:00",165,"non-stop",15676
"Air India","2019-01-03","Banglore","New Delhi","09:30:00",855,"1 stop",12704
"Air India","2019-01-03","Banglore","New Delhi","17:00:00",1155,"1 stop",10246
"Jet Airways","2019-01-03","Banglore","New Delhi","07:00:00",800,"1 stop",27992
"Jet Airways","2019-01-03","Banglore","New Delhi","22:50:00",1350,"1 stop",25735
"Air India","2019-01-03","Banglore","New Delhi","08:50:00",1545,"2 stops",31783
"Vistara","2019-01-03","Banglore","New Delhi","07:00:00",160,"non-stop",21520
"Air India","2019-01-03","Banglore","New Delhi","05:50:00",1645,"1 stop",13439
"IndiGo","2019-01-03","Kolkata","Banglore","17:15:00",160,"non-stop",6565
"IndiGo","2019-01-03","Banglore","New Delhi","05:15:00",285,"1 stop",8064
"Jet Airways Business","2019-01-03","Banglore","New Delhi","05:45:00",400,"1 stop",62427
"IndiGo","2019-01-03","Kolkata","Banglore","14:20:00",155,"non-stop",6565
"SpiceJet","2019-01-03","Chennai","Kolkata","08:20:00",135,"non-stop",7298
"Vistara","2019-01-03","Banglore","New Delhi","11:30:00",160,"non-stop",12648
"Air India","2019-01-03","Banglore","New Delhi","05:50:00",630,"2 stops",15119
"Jet Airways","2019-01-03","Banglore","New Delhi","08:00:00",435,"1 stop",22270
"Air India","2019-01-03","Banglore","New Delhi","08:50:00",2345,"2 stops",17135
"Air India","2019-01-03","Banglore","New Delhi","10:30:00",1490,"1 stop",11528
"IndiGo","2019-01-03","Banglore","New Delhi","07:10:00",175,"non-stop",11934
"Air India","2019-01-03","Banglore","New Delhi","13:20:00",170,"non-stop",12526
"Air India","2019-01-03","Banglore","New Delhi","08:50:00",1475,"2 stops",25430
"Vistara","2019-01-03","Banglore","New Delhi","21:10:00",175,"non-stop",21730
"Multiple carriers","2019-01-03","Delhi","Cochin","12:50:00",385,"1 stop",36983
"GoAir","2019-01-03","Banglore","New Delhi","20:55:00",175,"non-stop",18558
"Air India","2019-01-03","Banglore","New Delhi","05:50:00",1620,"3 stops",13081
"Air India","2019-01-03","Banglore","New Delhi","00:30:00",1200,"1 stop",14752
"Jet Airways","2019-01-03","Banglore","New Delhi","08:00:00",490,"1 stop",22270
"IndiGo","2019-01-03","Banglore","New Delhi","18:55:00",170,"non-stop",14306
"Jet Airways","2019-01-03","Banglore","New Delhi","14:05:00",1280,"1 stop",20800
"Jet Airways","2019-01-03","Banglore","New Delhi","14:05:00",305,"1 stop",36235
"IndiGo","2019-01-03","Banglore","New Delhi","16:15:00",260,"1 stop",7917
"Jet Airways","2019-01-03","Banglore","New Delhi","05:45:00",875,"1 stop",27992
"Jet Airways","2019-01-03","Banglore","New Delhi","05:45:00",935,"1 stop",27992
"Jet Airways","2019-01-03","Banglore","New Delhi","22:50:00",695,"1 stop",31825
"Air India","2019-01-03","Banglore","New Delhi","17:00:00",950,"1 stop",10981
"Air India","2019-01-03","Banglore","New Delhi","09:30:00",1595,"1 stop",12704
"Jet Airways","2019-01-03","Banglore","New Delhi","08:00:00",1455,"1 stop",22270
"Air India","2019-01-03","Banglore","New Delhi","11:05:00",1330,"1 stop",13439
"SpiceJet","2019-01-03","Banglore","New Delhi","10:20:00",475,"1 stop",23267
"IndiGo","2019-01-03","Delhi","Cochin","04:55:00",985,"2 stops",10278
"IndiGo","2019-01-03","Mumbai","Hyderabad","02:30:00",90,"non-stop",16000
"Jet Airways","2019-01-03","Banglore","New Delhi","16:55:00",365,"1 stop",54826
"SpiceJet","2019-01-03","Chennai","Kolkata","09:30:00",155,"non-stop",7298
"Jet Airways","2019-01-03","Banglore","New Delhi","22:50:00",1450,"1 stop",25735
"Air India","2019-01-03","Banglore","New Delhi","22:00:00",920,"1 stop",21130
"Jet Airways","2019-01-03","Banglore","New Delhi","08:00:00",625,"1 stop",26890
"IndiGo","2019-01-03","Chennai","Kolkata","14:40:00",145,"non-stop",7295
"SpiceJet","2019-01-03","Banglore","New Delhi","09:35:00",175,"non-stop",11690
"Jet Airways","2019-01-03","Banglore","New Delhi","14:05:00",435,"1 stop",36235
"Air Asia","2019-01-03","Kolkata","Banglore","10:20:00",155,"non-stop",5620
"Jet Airways","2019-01-03","Banglore","New Delhi","07:00:00",325,"1 stop",26890
"Jet Airways","2019-01-03","Banglore","New Delhi","08:55:00",950,"1 stop",26890
"Vistara","2019-01-03","Banglore","New Delhi","19:40:00",160,"non-stop",21730
"Air India","2019-01-03","Banglore","New Delhi","08:50:00",2315,"2 stops",25430
"Jet Airways","2019-01-03","Banglore","New Delhi","14:05:00",1055,"1 stop",22270
"Jet Airways","2019-01-03","Banglore","New Delhi","16:55:00",965,"1 stop",25735
"IndiGo","2019-01-03","Banglore","New Delhi","20:00:00",175,"non-stop",14306
"Jet Airways","2019-01-03","Banglore","New Delhi","20:35:00",890,"1 stop",31825
"Air India","2019-01-03","Chennai","Kolkata","11:40:00",135,"non-stop",19630
"Air India","2019-01-03","Banglore","New Delhi","05:50:00",1015,"1 stop",14069
"Jet Airways","2019-01-03","Banglore","New Delhi","08:55:00",380,"1 stop",26890
"GoAir","2019-01-03","Banglore","New Delhi","15:45:00",270,"1 stop",12314
"Jet Airways","2019-01-03","Banglore","New Delhi","11:40:00",1045,"1 stop",22270
"Jet Airways","2019-01-03","Banglore","New Delhi","16:55:00",920,"1 stop",26890
"SpiceJet","2019-01-03","Kolkata","Banglore","06:55:00",160,"non-stop",4622
"Jet Airways","2019-01-03","Mumbai","Hyderabad","07:10:00",85,"non-stop",17501
"Jet Airways","2019-01-03","Banglore","New Delhi","08:00:00",315,"1 stop",22270
"Air India","2019-01-03","Banglore","New Delhi","17:00:00",1795,"2 stops",14887
"GoAir","2019-01-03","Banglore","New Delhi","11:40:00",175,"non-stop",11111
"IndiGo","2019-01-03","Kolkata","Banglore","20:25:00",160,"non-stop",4778
"IndiGo","2019-01-03","Mumbai","Hyderabad","06:20:00",85,"non-stop",17501
"Air India","2019-01-03","Banglore","New Delhi","17:00:00",370,"1 stop",11628
"SpiceJet","2019-01-03","Kolkata","Banglore","09:00:00",150,"non-stop",5515
"Jet Airways","2019-01-03","Mumbai","Hyderabad","10:20:00",90,"non-stop",10875
"IndiGo","2019-01-03","Mumbai","Hyderabad","21:20:00",85,"non-stop",12475
"IndiGo","2019-01-03","Kolkata","Banglore","15:20:00",155,"non-stop",6565
"Air India","2019-01-03","Banglore","New Delhi","08:50:00",905,"2 stops",17345
"Jet Airways","2019-01-03","Banglore","New Delhi","14:05:00",640,"1 stop",26890
"Jet Airways","2019-01-03","Banglore","New Delhi","05:45:00",760,"1 stop",26890
"IndiGo","2019-01-03","Banglore","New Delhi","16:55:00",170,"non-stop",12649
"Vistara","2019-01-03","Banglore","New Delhi","06:40:00",1665,"1 stop",12371
"IndiGo","2019-01-03","Mumbai","Hyderabad","12:00:00",85,"non-stop",12475
"Air India","2019-01-03","Banglore","New Delhi","06:45:00",1600,"2 stops",26480
"Jet Airways","2019-01-03","Banglore","New Delhi","22:50:00",375,"1 stop",26890
"Air India","2019-01-03","Banglore","New Delhi","13:50:00",1730,"1 stop",17198
"Air Asia","2019-01-03","Kolkata","Banglore","19:35:00",150,"non-stop",5964
"Jet Airways","2019-01-03","Banglore","New Delhi","05:45:00",570,"1 stop",26890
"Jet Airways","2019-01-03","Banglore","New Delhi","05:45:00",625,"1 stop",26890
"Air India","2019-01-03","Mumbai","Hyderabad","19:30:00",75,"non-stop",15385
"Jet Airways","2019-01-03","Banglore","New Delhi","08:55:00",435,"1 stop",26890
"Jet Airways","2019-01-03","Banglore","New Delhi","08:55:00",570,"1 stop",26890
"Multiple carriers","2019-01-03","Delhi","Cochin","00:20:00",780,"1 stop",29528
"IndiGo","2019-01-03","Mumbai","Hyderabad","09:10:00",90,"non-stop",13999
"Multiple carriers","2019-01-03","Delhi","Cochin","14:35:00",465,"1 stop",14762
"IndiGo","2019-01-03","Banglore","New Delhi","16:55:00",295,"1 stop",8153
"Jet Airways","2019-01-03","Banglore","New Delhi","14:05:00",1165,"1 stop",25735
"IndiGo","2019-01-03","Kolkata","Banglore","22:10:00",165,"non-stop",4778
"Jet Airways","2019-01-03","Banglore","New Delhi","22:50:00",1290,"1 stop",25735
"Jet Airways","2019-01-03","Banglore","New Delhi","14:05:00",375,"1 stop",27992
"Vistara Premium economy","2019-01-03","Chennai","Kolkata","07:05:00",135,"non-stop",9125
"Jet Airways","2019-01-03","Banglore","New Delhi","14:05:00",1135,"1 stop",20800
"Jet Airways","2019-01-03","Banglore","New Delhi","07:00:00",685,"1 stop",26890
"Air India","2019-01-03","Mumbai","Hyderabad","15:00:00",85,"non-stop",6092
"Jet Airways","2019-01-03","Banglore","New Delhi","22:50:00",1555,"1 stop",26890
"IndiGo","2019-01-03","Banglore","New Delhi","16:50:00",285,"1 stop",13302
"SpiceJet","2019-01-03","Mumbai","Hyderabad","05:45:00",80,"non-stop",12475
"Jet Airways","2019-01-03","Banglore","New Delhi","08:00:00",1265,"1 stop",22270
"Jet Airways Business","2019-01-03","Banglore","New Delhi","05:45:00",340,"1 stop",79512
"Multiple carriers","2019-01-03","Delhi","Cochin","00:20:00",910,"1 stop",23170
"Jet Airways","2019-01-03","Banglore","New Delhi","05:45:00",805,"1 stop",27992
"IndiGo","2019-01-03","Kolkata","Banglore","21:25:00",160,"non-stop",4778
"Air Asia","2019-01-03","Banglore","New Delhi","23:25:00",165,"non-stop",10873
"SpiceJet","2019-01-03","Chennai","Kolkata","17:45:00",140,"non-stop",7718
"Air India","2019-01-03","Banglore","New Delhi","22:00:00",1520,"1 stop",14305
"IndiGo","2019-01-03","Banglore","New Delhi","13:40:00",295,"1 stop",8707
"Jet Airways","2019-01-03","Banglore","New Delhi","22:50:00",1220,"1 stop",25735
"Jet Airways","2019-01-03","Banglore","New Delhi","16:55:00",470,"1 stop",26890
"Jet Airways","2019-01-03","Banglore","New Delhi","05:50:00",390,"1 stop",28097
"Air India","2019-01-03","Banglore","New Delhi","11:05:00",525,"1 stop",14594
"Air India","2019-01-03","Kolkata","Banglore","14:15:00",150,"non-stop",6535
"IndiGo","2019-01-03","Banglore","New Delhi","08:30:00",180,"non-stop",10067
"Jet Airways","2019-01-03","Banglore","New Delhi","11:40:00",1280,"1 stop",20800
"IndiGo","2019-01-03","Kolkata","Banglore","09:35:00",165,"non-stop",6565
"Jet Airways","2019-01-03","Banglore","New Delhi","07:00:00",495,"1 stop",26890
"Jet Airways","2019-01-03","Banglore","New Delhi","08:55:00",745,"1 stop",27992
"Jet Airways","2019-01-03","Banglore","New Delhi","11:40:00",580,"1 stop",27992
"IndiGo","2019-01-03","Banglore","New Delhi","18:25:00",175,"non-stop",12649
"Jet Airways","2019-01-03","Banglore","New Delhi","18:40:00",860,"1 stop",31825
"Air India","2019-01-03","Banglore","New Delhi","08:50:00",875,"2 stops",26743
"SpiceJet","2019-01-03","Mumbai","Hyderabad","22:45:00",85,"non-stop",11005
"IndiGo","2019-01-03","Banglore","New Delhi","07:30:00",290,"1 stop",8110
"Jet Airways Business","2019-01-03","Banglore","New Delhi","09:45:00",280,"1 stop",57209
"Air India","2019-01-03","Delhi","Cochin","23:00:00",1215,"1 stop",27430
"IndiGo","2019-01-03","Banglore","New Delhi","21:20:00",175,"non-stop",12649
"Multiple carriers","2019-01-03","Delhi","Cochin","19:00:00",395,"1 stop",23533
"Air India","2019-01-03","Banglore","New Delhi","06:45:00",1705,"2 stops",20999
"Jet Airways","2019-01-03","Banglore","New Delhi","18:40:00",365,"1 stop",35185
"IndiGo","2019-01-03","Banglore","New Delhi","12:10:00",295,"1 stop",9694
"Air India","2019-01-03","Banglore","New Delhi","11:50:00",725,"1 stop",26092
"Jet Airways","2019-01-03","Banglore","New Delhi","07:00:00",1325,"1 stop",26890
"Air India","2019-01-03","Banglore","New Delhi","11:05:00",700,"1 stop",14069
"IndiGo","2019-01-03","Chennai","Kolkata","05:15:00",140,"non-stop",7295
"Air India","2019-01-03","Banglore","New Delhi","08:50:00",1580,"2 stops",19372
"IndiGo","2019-01-03","Banglore","New Delhi","10:05:00",175,"non-stop",10067
"Jet Airways","2019-01-04","Kolkata","Banglore","20:25:00",1120,"1 stop",11467
"SpiceJet","2019-01-04","Kolkata","Banglore","22:20:00",140,"non-stop",3873
"IndiGo","2019-01-04","Mumbai","Hyderabad","09:10:00",90,"non-stop",3342
"Vistara","2019-01-04","Banglore","Delhi","09:45:00",170,"non-stop",5403
"Jet Airways","2019-01-04","Kolkata","Banglore","18:55:00",1400,"1 stop",7064
"Air Asia","2019-01-04","Kolkata","Banglore","07:35:00",710,"1 stop",5192
"Air India","2019-01-04","Kolkata","Banglore","05:50:00",1045,"2 stops",11516
"Air India","2019-01-04","Kolkata","Banglore","10:00:00",1165,"2 stops",12639
"Jet Airways","2019-01-04","Kolkata","Banglore","09:35:00",575,"1 stop",9314
"Air India","2019-01-04","Banglore","Delhi","21:05:00",170,"non-stop",4441
"Air India","2019-01-04","Kolkata","Banglore","10:00:00",1470,"3 stops",12954
"IndiGo","2019-01-04","Banglore","Delhi","00:30:00",175,"non-stop",4423
"Jet Airways","2019-01-04","Kolkata","Banglore","18:55:00",1285,"1 stop",7064
"Jet Airways","2019-01-04","Banglore","Delhi","15:15:00",175,"non-stop",4544
"Jet Airways","2019-01-04","Kolkata","Banglore","18:55:00",1495,"1 stop",7064
"Jet Airways","2019-01-04","Kolkata","Banglore","06:30:00",855,"1 stop",12681
"Air India","2019-01-04","Kolkata","Banglore","07:00:00",1345,"2 stops",12219
"Jet Airways","2019-01-04","Banglore","Delhi","06:00:00",165,"non-stop",7229
"Vistara","2019-01-04","Banglore","Delhi","07:00:00",160,"non-stop",5403
"Jet Airways","2019-01-04","Kolkata","Banglore","06:30:00",800,"1 stop",12681
"Jet Airways","2019-01-04","Banglore","Delhi","11:10:00",175,"non-stop",7229
"IndiGo","2019-01-04","Kolkata","Banglore","14:25:00",150,"non-stop",4174
"Vistara","2019-01-04","Kolkata","Banglore","17:00:00",1065,"1 stop",9187
"Jet Airways","2019-01-04","Kolkata","Banglore","18:55:00",1400,"1 stop",12681
"Jet Airways","2019-01-04","Kolkata","Banglore","18:55:00",1720,"1 stop",12681
"Jet Airways","2019-01-04","Banglore","Delhi","17:45:00",180,"non-stop",7229
"SpiceJet","2019-01-04","Delhi","Cochin","08:45:00",270,"1 stop",4812
"Jet Airways","2019-01-04","Delhi","Cochin","17:30:00",1145,"1 stop",5406
"Air India","2019-01-04","Kolkata","Banglore","20:30:00",745,"1 stop",7893
"Jet Airways","2019-01-04","Kolkata","Banglore","20:00:00",960,"1 stop",12681
"Vistara","2019-01-04","Kolkata","Banglore","07:10:00",975,"1 stop",7927
"Jet Airways","2019-01-04","Kolkata","Banglore","14:05:00",570,"1 stop",13364
"GoAir","2019-01-04","Delhi","Cochin","10:35:00",540,"1 stop",5281
"SpiceJet","2019-01-04","Mumbai","Hyderabad","05:45:00",90,"non-stop",1965
"Jet Airways","2019-01-04","Kolkata","Banglore","21:10:00",665,"1 stop",8849
"Air India","2019-01-04","Kolkata","Banglore","19:00:00",890,"1 stop",4227
"Air India","2019-01-04","Kolkata","Banglore","10:00:00",920,"2 stops",10408
"Jet Airways","2019-01-04","Delhi","Cochin","16:00:00",1235,"1 stop",5406
"IndiGo","2019-01-04","Delhi","Cochin","07:35:00",275,"1 stop",5073
"SpiceJet","2019-01-04","Kolkata","Banglore","06:55:00",155,"non-stop",3873
"Air India","2019-01-04","Kolkata","Banglore","16:45:00",1830,"3 stops",8607
"Jet Airways","2019-01-04","Kolkata","Banglore","09:35:00",505,"1 stop",11467
"Jet Airways","2019-01-04","Kolkata","Banglore","21:10:00",450,"1 stop",13364
"Jet Airways","2019-01-04","Kolkata","Banglore","16:30:00",365,"1 stop",12681
"Air India","2019-01-04","Kolkata","Banglore","20:30:00",1605,"1 stop",7211
"Jet Airways","2019-01-04","Banglore","Delhi","18:55:00",185,"non-stop",7229
"Air India","2019-01-04","Kolkata","Banglore","16:50:00",905,"1 stop",7893
"Jet Airways","2019-01-04","Kolkata","Banglore","20:00:00",1220,"1 stop",12681
"SpiceJet","2019-01-04","Kolkata","Banglore","09:00:00",145,"non-stop",3873
"Jet Airways","2019-01-04","Kolkata","Banglore","20:25:00",800,"1 stop",14151
"Jet Airways","2019-01-04","Banglore","Delhi","19:50:00",180,"non-stop",7229
"Jet Airways","2019-01-04","Kolkata","Banglore","14:05:00",345,"1 stop",13364
"Jet Airways","2019-01-04","Mumbai","Hyderabad","02:55:00",85,"non-stop",2228
"Jet Airways","2019-01-04","Mumbai","Hyderabad","07:05:00",85,"non-stop",8040
"Air Asia","2019-01-04","Kolkata","Banglore","22:40:00",720,"1 stop",5192
"IndiGo","2019-01-04","Delhi","Cochin","06:50:00",320,"1 stop",5298
"Vistara","2019-01-04","Kolkata","Banglore","07:10:00",1555,"1 stop",7980
"IndiGo","2019-01-04","Kolkata","Banglore","09:35:00",165,"non-stop",4174
"Air India","2019-01-04","Banglore","Delhi","17:00:00",165,"non-stop",5176
"Jet Airways","2019-01-04","Kolkata","Banglore","21:10:00",730,"1 stop",13364
"Jet Airways","2019-01-04","Kolkata","Banglore","20:00:00",960,"1 stop",7064
"IndiGo","2019-01-04","Kolkata","Banglore","15:10:00",320,"1 stop",8567
"Air India","2019-01-04","Kolkata","Banglore","19:00:00",580,"1 stop",4227
"SpiceJet","2019-01-04","Kolkata","Banglore","15:55:00",330,"1 stop",7646
"GoAir","2019-01-04","Delhi","Cochin","07:25:00",370,"1 stop",4563
"Jet Airways","2019-01-04","Kolkata","Banglore","06:30:00",590,"1 stop",12996
"Jet Airways","2019-01-04","Kolkata","Banglore","08:25:00",590,"1 stop",7064
"IndiGo","2019-01-04","Kolkata","Banglore","17:35:00",280,"1 stop",5699
"IndiGo","2019-01-04","Banglore","Delhi","16:55:00",180,"non-stop",4823
"IndiGo","2019-01-04","Kolkata","Banglore","11:30:00",155,"non-stop",4174
"Jet Airways","2019-01-04","Kolkata","Banglore","20:25:00",870,"1 stop",11467
"Jet Airways","2019-01-04","Kolkata","Banglore","18:55:00",1660,"1 stop",7064
"Jet Airways","2019-01-04","Kolkata","Banglore","20:00:00",1430,"1 stop",7064
"Jet Airways","2019-01-04","Kolkata","Banglore","18:55:00",1285,"1 stop",12681
"Vistara","2019-01-04","Kolkata","Banglore","17:00:00",385,"1 stop",8610
"Vistara","2019-01-04","Kolkata","Banglore","17:00:00",965,"1 stop",8662
"Air India","2019-01-04","Kolkata","Banglore","16:45:00",970,"2 stops",9920
"Air India","2019-01-04","Kolkata","Banglore","16:45:00",1830,"2 stops",9237
"Jet Airways","2019-01-04","Kolkata","Banglore","06:30:00",1545,"1 stop",7064
"Air Asia","2019-01-04","Kolkata","Banglore","06:50:00",220,"1 stop",5162
"SpiceJet","2019-01-04","Kolkata","Banglore","09:00:00",145,"non-stop",3841
"SpiceJet","2019-01-04","Banglore","Delhi","09:30:00",170,"non-stop",3971
"Air India","2019-01-04","Kolkata","Banglore","16:50:00",1540,"1 stop",7893
"IndiGo","2019-01-04","Kolkata","Banglore","17:15:00",155,"non-stop",4174
"Jet Airways","2019-01-04","Kolkata","Banglore","18:55:00",585,"1 stop",12681
"IndiGo","2019-01-04","Delhi","Cochin","02:00:00",325,"1 stop",5164
"SpiceJet","2019-01-04","Banglore","Delhi","05:55:00",160,"non-stop",3919
"Air India","2019-01-04","Kolkata","Banglore","17:30:00",925,"1 stop",7893
"Vistara","2019-01-04","Kolkata","Banglore","20:20:00",1625,"1 stop",7927
"Jet Airways","2019-01-04","Kolkata","Banglore","09:35:00",690,"1 stop",8066
"IndiGo","2019-01-04","Kolkata","Banglore","20:20:00",155,"non-stop",4488
"Jet Airways","2019-01-04","Kolkata","Banglore","16:30:00",1640,"1 stop",7064
"Vistara","2019-01-04","Kolkata","Banglore","07:10:00",790,"1 stop",8452
"Jet Airways","2019-01-04","Kolkata","Banglore","06:30:00",800,"1 stop",7064
"IndiGo","2019-01-04","Banglore","Delhi","10:10:00",170,"non-stop",3943
"Jet Airways","2019-01-04","Banglore","Delhi","07:10:00",180,"non-stop",7229
"Jet Airways","2019-01-04","Mumbai","Hyderabad","02:55:00",85,"non-stop",5678
"Jet Airways","2019-01-04","Delhi","Cochin","18:15:00",1485,"1 stop",5406
"Jet Airways","2019-01-04","Kolkata","Banglore","16:30:00",425,"1 stop",12681
"Jet Airways","2019-01-04","Kolkata","Banglore","21:10:00",775,"1 stop",13784
"IndiGo","2019-01-04","Kolkata","Banglore","15:30:00",155,"non-stop",4174
"Air India","2019-01-04","Kolkata","Banglore","20:45:00",155,"non-stop",4460
"SpiceJet","2019-01-04","Kolkata","Banglore","22:20:00",140,"non-stop",3841
"Air Asia","2019-01-04","Kolkata","Banglore","22:50:00",150,"non-stop",4107
"Air India","2019-01-04","Kolkata","Banglore","10:00:00",795,"1 stop",7893
"Air India","2019-01-04","Kolkata","Banglore","07:00:00",1620,"2 stops",9836
"Air India","2019-01-04","Kolkata","Banglore","07:00:00",1345,"2 stops",12849
"Air India","2019-01-04","Kolkata","Banglore","14:35:00",1485,"1 stop",5006
"Jet Airways","2019-01-04","Delhi","Cochin","10:00:00",1595,"1 stop",5406
"Air Asia","2019-01-04","Kolkata","Banglore","19:55:00",150,"non-stop",3807
"Jet Airways","2019-01-04","Kolkata","Banglore","08:25:00",685,"1 stop",7064
"Jet Airways","2019-01-04","Kolkata","Banglore","08:25:00",590,"1 stop",12681
"GoAir","2019-01-04","Kolkata","Banglore","16:40:00",455,"1 stop",5171
"IndiGo","2019-01-04","Banglore","Delhi","01:30:00",165,"non-stop",4423
"Vistara","2019-01-04","Kolkata","Banglore","17:00:00",355,"1 stop",8977
"Jet Airways","2019-01-04","Kolkata","Banglore","09:35:00",690,"1 stop",10953
"Jet Airways","2019-01-04","Banglore","Delhi","06:00:00",165,"non-stop",4544
"Jet Airways","2019-01-04","Kolkata","Banglore","21:10:00",450,"1 stop",8849
"Air India","2019-01-04","Kolkata","Banglore","12:00:00",1830,"2 stops",9258
"Jet Airways","2019-01-04","Kolkata","Banglore","18:55:00",1720,"1 stop",7064
"Jet Airways","2019-01-04","Kolkata","Banglore","21:10:00",730,"1 stop",8849
"Jet Airways","2019-01-04","Kolkata","Banglore","08:25:00",1495,"1 stop",7064
"Jet Airways","2019-01-04","Kolkata","Banglore","16:30:00",1695,"1 stop",7064
"Jet Airways","2019-01-04","Kolkata","Banglore","09:35:00",575,"1 stop",11467
"Air India","2019-01-04","Mumbai","Hyderabad","21:05:00",80,"non-stop",2050
"SpiceJet","2019-01-04","Kolkata","Banglore","15:05:00",315,"1 stop",4649
"Vistara","2019-01-04","Kolkata","Banglore","20:20:00",1440,"1 stop",8452
"Jet Airways","2019-01-04","Kolkata","Banglore","20:00:00",1485,"1 stop",7064
"Jet Airways","2019-01-04","Kolkata","Banglore","08:25:00",850,"1 stop",7064
"Jet Airways","2019-01-04","Kolkata","Banglore","16:30:00",425,"1 stop",7064
